name,node_id_cooc,node_id_core,node_id_chem
abalone,0,0,0
abalone_mushroom,1,1,1
absinthe,2,2,2
acacia,3,3,3
acai,4,4,4
acerola,5,5,5
achiote_paste,6,6,6
acorn,7,7,7
acorn_squash,8,8,8
activated_charcoal_powder,9,9,9
adjika,10,10,10
adobo_sauce,11,11,11
adobo_seasoning,12,12,12
advocaat,13,13,13
agar,14,14,14
agati_flower,15,15,15
agave_syrup,16,16,16
aguardiente,17,17,17
aji_amarillo,18,18,18
aji_panca,19,19,19
ajvar,20,20,20
ajwain,21,21,21
alcaparrado,22,22,22
aleppo_pepper,23,23,23
alfalfa_sprout,24,24,24
alfredo_sauce,25,25,25
alligator,26,26,26
allspice,27,27,27
allulose,28,28,28
almond,29,29,29
almond_butter,30,30,30
almond_milk,31,31,31
almond_paste,32,32,32
almond_tofu,33,33,33
aloe_vera,34,34,34
alum,35,35,35
amaranth,36,36,36
amaretti_cookie,37,37,37
amaretto,38,38,38
amaro,39,39,39
amazake,40,40,40
amberjack,41,41,41
amchur,42,42,42
american_cheese,43,43,43
anaheim_chile,44,44,44
anardana_powder,45,45,45
ancho_chile,46,46,46
anchovy,47,47,47
andouille_sausage,48,48,48
angelica_root,49,49,49
anise,50,50,50
anisette,51,51,51
annatto_seed,52,52,52
aonori,53,53,53
apple,54,54,54
apple_brandy,55,55,55
apple_cider,56,56,56
apple_cider_vinegar,57,57,57
apple_pie_spice,58,58,58
applewood_chip,59,59,59
apricot,60,60,60
apricot_brandy,61,61,61
aquafaba,62,62,62
aquavit,63,63,63
arame,64,64,64
arctic_char,65,65,65
arepa,66,66,66
argan_oil,67,67,67
armagnac,68,68,68
aronia_berry,69,69,69
arrowhead,70,70,70
arrowroot,71,71,71
artichoke,72,72,72
arugula,73,73,73
asafoetida,74,74,74
asam_gelugur,75,75,75
ascorbic_acid,76,76,76
asiago_cheese,77,77,77
asian_pear,78,78,78
asparagus,79,79,79
astragalus_root,80,80,80
avocado,81,81,81
avocado_oil,82,82,82
ayran,83,83,83
bacon,84,84,84
bagel,85,85,85
baharat,86,86,86
bai_ji_mo,87,87,87
baijiu,88,88,88
bak_kut_teh_spice,89,89,89
baked_beans,90,90,90
bakers_ammonia,91,91,91
baking_powder,92,92,92
baking_soda,93,93,93
balado_seasoning,94,94,94
balsamic_vinegar,95,95,95
balut,96,96,96
balyk,97,97,97
bamboo_leaf,98,98,98
bamboo_pith_mushroom,99,99,99
bamboo_salt,100,100,100
bamboo_shoot,101,101,101
banana,102,102,102
banana_blossom,103,103,103
banana_leaf,104,104,104
banana_pepper,105,105,105
barbecue_sauce,106,106,106
barbecue_seasoning,107,107,107
barberry,108,108,108
barley,109,109,109
barley_grass,110,110,110
barramundi,111,111,111
basa,112,112,112
basil,113,113,113
basil_seed,114,114,114
basmati_rice,115,115,115
batang_fish,116,116,116
bay_leaf,117,117,117
bean,118,118,118
bean_sprout,119,119,119
bear_meat,120,120,120
bearnaise_sauce,121,121,121
bechamel,122,122,122
bee_pollen,123,123,123
beef,124,124,124
beer,125,125,125
beet,126,126,126
bel_paese_cheese,127,127,127
bell_pepper,128,128,128
bellflower_root,129,129,129
benedictine,130,130,130
berbere,131,131,131
bergamot,132,132,132
berry,133,133,133
bilimbi,134,134,134
birds_eye_chili,135,135,135
birds_nest,136,136,136
biryani_masala,137,137,137
biscotti,138,138,138
biscuit,139,139,139
bison,140,140,140
bitter_almond,141,141,141
bitter_green,142,142,142
bitter_melon,143,143,143
bitter_orange,144,144,144
bittern,145,145,145
bitters,146,146,146
black_bean,147,147,147
black_bean_paste,148,148,148
black_currant,149,149,149
black_eyed_pea,150,150,150
black_garlic,151,151,151
black_olive,152,152,152
black_pepper,153,153,153
black_rice,154,154,154
black_salt,155,155,155
black_sesame_seed,156,156,156
black_tea,157,157,157
black_treacle,158,158,158
black_truffle,159,159,159
black_vinegar,160,160,160
blackberry,161,161,161
blackening_seasoning,162,162,162
blood_orange,163,163,163
blood_sausage,164,164,164
blood_tofu,165,165,165
bloody_mary_mix,166,166,166
blue_cheese,167,167,167
blue_curacao,168,168,168
blueberry,169,169,169
bluefish,170,170,170
